Red,Green,Blue,Clear,Distance_mm,Timestamp
115,153,160,287,27,2026-01-21 10:26:37.913
179,221,225,355,27,2026-01-21 10:26:38.056
162,199,205,329,30,2026-01-21 10:26:38.199
118,153,160,280,26,2026-01-21 10:26:38.342
181,225,230,361,23,2026-01-21 10:26:38.485
189,241,247,392,23,2026-01-21 10:26:38.628
136,189,197,348,23,2026-01-21 10:26:38.771
242,302,307,467,23,2026-01-21 10:26:38.914
254,324,329,507,25,2026-01-21 10:26:39.057
183,259,267,461,21,2026-01-21 10:26:39.200
272,342,346,526,23,2026-01-21 10:26:39.343
279,355,360,552,24,2026-01-21 10:26:39.486
200,281,290,495,27,2026-01-21 10:26:39.629
338,425,433,644,28,2026-01-21 10:26:39.772
368,460,470,693,25,2026-01-21 10:26:39.915
242,327,337,554,28,2026-01-21 10:26:40.058
127,225,237,706,39,2026-01-21 10:26:40.201
531,656,674,958,22,2026-01-21 10:26:40.344
398,544,564,900,34,2026-01-21 10:26:40.487
142,284,299,627,25,2026-01-21 10:26:40.630
585,736,758,1102,26,2026-01-21 10:26:40.773
428,587,609,970,38,2026-01-21 10:26:40.916
140,267,282,583,33,2026-01-21 10:26:41.059
460,573,589,857,36,2026-01-21 10:26:41.202
356,474,490,764,37,2026-01-21 10:26:41.345
145,267,283,567,37,2026-01-21 10:26:41.488
508,640,660,957,37,2026-01-21 10:26:41.631
427,563,583,894,41,2026-01-21 10:26:41.774
186,337,356,694,25,2026-01-21 10:26:41.917
585,766,792,1191,24,2026-01-21 10:26:42.060
489,691,717,1154,27,2026-01-21 10:26:42.203
212,368,386,734,39,2026-01-21 10:26:42.346
522,656,675,974,39,2026-01-21 10:26:42.489
471,620,640,965,23,2026-01-21 10:26:42.632
249,459,485,928,24,2026-01-21 10:26:42.775
566,738,765,1139,28,2026-01-21 10:26:42.918
370,481,495,747,26,2026-01-21 10:26:43.061
177,270,281,503,24,2026-01-21 10:26:43.204
319,412,420,635,31,2026-01-21 10:26:43.347
381,494,508,758,32,2026-01-21 10:26:43.490
223,338,353,608,40,2026-01-21 10:26:43.633
463,582,600,860,37,2026-01-21 10:26:43.776
518,648,668,946,32,2026-01-21 10:26:43.919
314,432,448,711,38,2026-01-21 10:26:44.062
494,598,613,846,37,2026-01-21 10:26:44.205
483,581,594,818,26,2026-01-21 10:26:44.348
222,296,303,490,23,2026-01-21 10:26:44.491
100,168,175,543,27,2026-01-21 10:26:44.634
368,450,458,656,32,2026-01-21 10:26:44.777
299,392,403,624,31,2026-01-21 10:26:44.920
111,213,222,468,33,2026-01-21 10:26:45.063
553,672,686,955,30,2026-01-21 10:26:45.206
289,375,383,598,22,2026-01-21 10:26:45.349
105,179,183,386,24,2026-01-21 10:26:45.492
301,381,382,585,23,2026-01-21 10:26:45.635
218,290,295,472,24,2026-01-21 10:26:45.778
101,172,181,356,22,2026-01-21 10:26:45.921
300,379,386,567,26,2026-01-21 10:26:46.064
