Red,Green,Blue,Clear,Distance_mm,Timestamp
125,142,118,213,36,2026-01-21 10:24:41.081
100,117,93,190,34,2026-01-21 10:24:41.223
144,165,137,239,32,2026-01-21 10:24:41.367
140,164,134,241,26,2026-01-21 10:24:41.510
108,132,102,213,28,2026-01-21 10:24:41.653
165,195,159,278,27,2026-01-21 10:24:41.796
162,197,157,284,25,2026-01-21 10:24:41.939
118,152,113,242,24,2026-01-21 10:24:42.082
172,208,167,294,25,2026-01-21 10:24:42.225
166,203,161,290,24,2026-01-21 10:24:42.368
125,164,121,257,22,2026-01-21 10:24:42.511
207,254,202,352,21,2026-01-21 10:24:42.653
231,291,227,404,22,2026-01-21 10:24:42.797
162,221,159,339,21,2026-01-21 10:24:42.940
243,305,240,418,20,2026-01-21 10:24:43.083
251,315,247,432,22,2026-01-21 10:24:43.226
158,209,155,314,20,2026-01-21 10:24:43.391
94,142,92,337,23,2026-01-21 10:24:43.511
231,286,227,388,24,2026-01-21 10:24:43.655
153,200,150,297,21,2026-01-21 10:24:43.797
95,150,94,261,22,2026-01-21 10:24:43.940
242,303,240,413,24,2026-01-21 10:24:44.084
231,307,231,442,24,2026-01-21 10:24:44.227
100,166,100,296,24,2026-01-21 10:24:44.370
303,378,302,510,27,2026-01-21 10:24:44.512
252,323,252,454,21,2026-01-21 10:24:44.656
102,161,101,284,24,2026-01-21 10:24:44.799
258,320,255,434,21,2026-01-21 10:24:44.942
204,265,202,378,31,2026-01-21 10:24:45.085
144,244,148,420,26,2026-01-21 10:24:45.228
328,408,328,546,23,2026-01-21 10:24:45.371
160,195,155,277,30,2026-01-21 10:24:45.514
98,124,93,198,30,2026-01-21 10:24:45.656
165,197,160,275,24,2026-01-21 10:24:45.800
183,226,179,318,21,2026-01-21 10:24:45.943
145,211,144,338,24,2026-01-21 10:24:46.086
305,373,302,498,22,2026-01-21 10:24:46.229
239,294,234,403,21,2026-01-21 10:24:46.372
170,238,168,374,25,2026-01-21 10:24:46.515
358,431,355,571,39,2026-01-21 10:24:46.658
460,558,464,741,23,2026-01-21 10:24:46.801
315,458,321,708,36,2026-01-21 10:24:46.944
512,615,517,803,35,2026-01-21 10:24:47.087
423,511,426,674,25,2026-01-21 10:24:47.230
332,461,339,682,23,2026-01-21 10:24:47.373
573,696,580,907,36,2026-01-21 10:24:47.516
544,655,551,843,27,2026-01-21 10:24:47.659
359,478,365,683,36,2026-01-21 10:24:47.802
118,206,120,368,36,2026-01-21 10:24:47.945
474,566,479,729,36,2026-01-21 10:24:48.088
365,466,371,640,24,2026-01-21 10:24:48.231
142,282,150,514,24,2026-01-21 10:24:48.374
580,698,586,907,31,2026-01-21 10:24:48.517
303,380,305,522,28,2026-01-21 10:24:48.660
107,180,107,321,30,2026-01-21 10:24:48.803
396,481,399,632,30,2026-01-21 10:24:48.946
426,544,433,747,27,2026-01-21 10:24:49.089
151,272,158,479,25,2026-01-21 10:24:49.231
598,759,609,1039,22,2026-01-21 10:24:49.375
476,612,483,847,31,2026-01-21 10:24:49.518
168,264,172,437,33,2026-01-21 10:24:49.661
447,538,453,699,34,2026-01-21 10:24:49.804
449,567,457,762,33,2026-01-21 10:24:49.947
217,350,224,572,28,2026-01-21 10:24:50.090
560,685,568,896,34,2026-01-21 10:24:50.233
473,575,479,752,26,2026-01-21 10:24:50.376
173,242,172,375,24,2026-01-21 10:24:50.519
308,373,305,492,22,2026-01-21 10:24:50.661
235,286,230,389,26,2026-01-21 10:24:50.805
199,275,198,421,37,2026-01-21 10:24:50.948
555,658,562,840,24,2026-01-21 10:24:51.091
332,396,327,527,26,2026-01-21 10:24:51.233
228,297,224,447,22,2026-01-21 10:24:51.377
597,711,599,929,27,2026-01-21 10:24:51.519
581,713,585,952,25,2026-01-21 10:24:51.663
355,459,357,658,37,2026-01-21 10:24:51.806
510,223,132,778,34,2026-01-21 10:24:51.949
433,518,436,673,35,2026-01-21 10:24:52.092
277,360,278,511,23,2026-01-21 10:24:52.234
147,286,153,519,36,2026-01-21 10:24:52.378
551,656,559,836,30,2026-01-21 10:24:52.521
280,355,280,495,25,2026-01-21 10:24:52.663
160,329,170,604,24,2026-01-21 10:24:52.807
593,777,606,1092,23,2026-01-21 10:24:52.950
444,618,456,912,25,2026-01-21 10:24:53.092
139,268,145,486,27,2026-01-21 10:24:53.236
557,671,565,865,36,2026-01-21 10:24:53.379
364,454,367,616,38,2026-01-21 10:24:53.522
159,274,165,472,30,2026-01-21 10:24:53.665
559,673,567,867,39,2026-01-21 10:24:53.808
391,483,396,648,33,2026-01-21 10:24:53.951
166,253,169,416,39,2026-01-21 10:24:54.093
547,650,554,830,37,2026-01-21 10:24:54.237
441,538,447,711,34,2026-01-21 10:24:54.380
224,335,229,530,39,2026-01-21 10:24:54.523
541,646,549,827,24,2026-01-21 10:24:54.665
529,669,537,909,21,2026-01-21 10:24:54.809
272,418,279,663,30,2026-01-21 10:24:54.952
564,675,571,865,33,2026-01-21 10:24:55.095
394,473,396,616,36,2026-01-21 10:24:55.238
259,353,262,524,39,2026-01-21 10:24:55.381
511,609,516,784,31,2026-01-21 10:24:55.524
527,644,534,844,28,2026-01-21 10:24:55.666
232,309,231,455,24,2026-01-21 10:24:55.809
301,367,297,491,25,2026-01-21 10:24:55.953
330,403,328,539,35,2026-01-21 10:24:56.096
361,491,367,714,24,2026-01-21 10:24:56.239
145,261,147,971,36,2026-01-21 10:24:56.382
463,547,464,713,38,2026-01-21 10:24:56.524
369,460,370,643,26,2026-01-21 10:24:56.668
161,276,162,497,25,2026-01-21 10:24:56.810
612,716,614,927,39,2026-01-21 10:24:56.953
418,510,420,694,33,2026-01-21 10:24:57.096
127,197,124,346,26,2026-01-21 10:24:57.239
359,426,356,557,38,2026-01-21 10:24:57.382
354,439,357,596,34,2026-01-21 10:24:57.525
139,225,140,388,36,2026-01-21 10:24:57.668
467,549,470,701,38,2026-01-21 10:24:57.812
441,542,447,721,25,2026-01-21 10:24:57.954
188,306,193,513,25,2026-01-21 10:24:58.098
612,731,617,948,23,2026-01-21 10:24:58.240
512,627,518,834,25,2026-01-21 10:24:58.383
240,400,250,666,22,2026-01-21 10:24:58.527
595,711,601,924,36,2026-01-21 10:24:58.670
452,542,456,706,36,2026-01-21 10:24:58.812
212,304,216,473,31,2026-01-21 10:24:58.955
543,653,551,840,24,2026-01-21 10:24:59.098
529,678,537,930,25,2026-01-21 10:24:59.241
287,445,297,709,23,2026-01-21 10:24:59.384
584,742,595,1020,24,2026-01-21 10:24:59.528
552,705,563,975,24,2026-01-21 10:24:59.671
320,453,329,691,23,2026-01-21 10:24:59.813
604,761,616,1049,28,2026-01-21 10:24:59.957
319,582,341,1001,24,2026-01-21 10:25:00.100
358,556,375,882,25,2026-01-21 10:25:00.243
552,743,198,1070,29,2026-01-21 10:25:00.386
449,641,461,998,23,2026-01-21 10:25:00.529
410,572,422,856,23,2026-01-21 10:25:00.671
192,413,208,768,30,2026-01-21 10:25:00.815
331,567,347,960,31,2026-01-21 10:25:00.958
282,527,299,921,27,2026-01-21 10:25:01.101
176,361,188,666,25,2026-01-21 10:25:01.243
579,712,584,954,24,2026-01-21 10:25:01.386
446,567,450,794,21,2026-01-21 10:25:01.529
152,264,155,481,23,2026-01-21 10:25:01.673
623,730,626,955,34,2026-01-21 10:25:01.816
353,411,351,562,30,2026-01-21 10:25:01.959
151,162,141,277,39,2026-01-21 10:25:02.101
192,200,182,312,33,2026-01-21 10:25:02.244
190,201,180,318,30,2026-01-21 10:25:02.388
159,171,149,292,31,2026-01-21 10:25:02.530
215,229,205,346,30,2026-01-21 10:25:02.674
201,216,191,328,33,2026-01-21 10:25:02.817
163,175,153,287,31,2026-01-21 10:25:02.960
211,224,200,334,35,2026-01-21 10:25:03.103
194,208,184,313,30,2026-01-21 10:25:03.246
154,171,144,273,31,2026-01-21 10:25:03.390
199,218,189,316,33,2026-01-21 10:25:03.531
183,199,174,295,35,2026-01-21 10:25:03.674
146,159,136,252,37,2026-01-21 10:25:03.817
171,184,162,275,39,2026-01-21 10:25:03.960
167,180,158,270,34,2026-01-21 10:25:04.104
145,160,136,252,34,2026-01-21 10:25:04.246
177,194,169,284,38,2026-01-21 10:25:04.389
166,179,157,266,35,2026-01-21 10:25:04.532
142,154,133,242,36,2026-01-21 10:25:04.675
118,131,109,270,34,2026-01-21 10:25:04.818
173,190,164,278,31,2026-01-21 10:25:04.961
149,170,142,257,30,2026-01-21 10:25:05.104
106,128,99,214,30,2026-01-21 10:25:05.247
179,205,172,288,25,2026-01-21 10:25:05.390
158,188,152,274,26,2026-01-21 10:25:05.533
101,134,96,226,23,2026-01-21 10:25:05.676
221,259,215,350,24,2026-01-21 10:25:05.819
188,226,182,318,27,2026-01-21 10:25:05.962
107,139,101,230,23,2026-01-21 10:25:06.105
210,245,203,333,24,2026-01-21 10:25:06.248
182,217,176,308,23,2026-01-21 10:25:06.391
118,152,112,247,24,2026-01-21 10:25:06.534
213,247,206,337,26,2026-01-21 10:25:06.677
187,221,180,310,24,2026-01-21 10:25:06.820
125,160,119,254,22,2026-01-21 10:25:06.963
250,295,244,393,25,2026-01-21 10:25:07.107
302,371,299,503,37,2026-01-21 10:25:07.249
223,316,225,490,37,2026-01-21 10:25:07.392
473,556,476,712,37,2026-01-21 10:25:07.535
419,500,422,653,37,2026-01-21 10:25:07.678
239,319,239,478,25,2026-01-21 10:25:07.822
318,379,314,504,21,2026-01-21 10:25:07.965
237,280,232,388,23,2026-01-21 10:25:08.107
164,205,160,322,21,2026-01-21 10:25:08.250
255,299,251,415,21,2026-01-21 10:25:08.394
262,310,259,434,23,2026-01-21 10:25:08.536
203,257,202,394,22,2026-01-21 10:25:08.679
246,291,100,404,27,2026-01-21 10:25:08.822
178,204,172,293,29,2026-01-21 10:25:08.965
135,160,129,244,28,2026-01-21 10:25:09.108
97,122,91,203,31,2026-01-21 10:25:09.251
164,188,157,265,34,2026-01-21 10:25:09.394
129,148,122,220,37,2026-01-21 10:25:09.537
96,111,89,180,39,2026-01-21 10:25:09.680
136,152,129,219,37,2026-01-21 10:25:09.823
127,145,120,214,33,2026-01-21 10:25:09.966
95,115,89,187,32,2026-01-21 10:25:10.109
152,173,145,245,36,2026-01-21 10:25:10.253
130,149,123,218,33,2026-01-21 10:25:10.395
97,116,91,187,33,2026-01-21 10:25:10.538
151,172,144,242,32,2026-01-21 10:25:10.681
141,163,135,236,32,2026-01-21 10:25:10.824
100,120,94,191,35,2026-01-21 10:25:10.967
146,165,139,235,33,2026-01-21 10:25:11.110
145,169,139,242,31,2026-01-21 10:25:11.253
103,124,97,196,34,2026-01-21 10:25:11.396
150,171,144,242,34,2026-01-21 10:25:11.540
143,165,137,236,30,2026-01-21 10:25:11.682
109,131,103,203,32,2026-01-21 10:25:11.825
157,180,151,251,31,2026-01-21 10:25:11.968
155,180,149,254,29,2026-01-21 10:25:12.112
120,146,115,223,29,2026-01-21 10:25:12.254
178,207,172,284,27,2026-01-21 10:25:12.397
176,206,170,285,31,2026-01-21 10:25:12.540
127,154,122,233,25,2026-01-21 10:25:12.683
183,214,177,294,26,2026-01-21 10:25:12.826
181,212,175,293,27,2026-01-21 10:25:12.969
134,162,128,241,29,2026-01-21 10:25:13.112
167,120,90,271,31,2026-01-21 10:25:13.255
