Red,Green,Blue,Clear,Distance_mm,Timestamp
206,164,159,256,24,2026-01-21 10:39:14.341
169,125,121,222,24,2026-01-21 10:39:14.483
210,82,80,261,26,2026-01-21 10:39:14.626
201,161,156,250,27,2026-01-21 10:39:14.770
168,126,122,218,28,2026-01-21 10:39:14.913
126,82,80,177,25,2026-01-21 10:39:15.055
203,162,158,253,27,2026-01-21 10:39:15.199
170,129,126,219,26,2026-01-21 10:39:15.342
124,81,80,174,29,2026-01-21 10:39:15.484
206,164,160,256,26,2026-01-21 10:39:15.628
180,138,134,231,22,2026-01-21 10:39:15.771
127,83,81,180,26,2026-01-21 10:39:15.913
210,169,164,262,24,2026-01-21 10:39:16.057
186,144,140,240,23,2026-01-21 10:39:16.199
136,91,88,194,21,2026-01-21 10:39:16.342
240,196,190,301,22,2026-01-21 10:39:16.486
214,171,165,277,19,2026-01-21 10:39:16.629
156,107,103,225,20,2026-01-21 10:39:16.772
269,223,215,337,20,2026-01-21 10:39:16.915
258,208,200,327,20,2026-01-21 10:39:17.057
174,122,117,247,20,2026-01-21 10:39:17.201
304,252,243,375,20,2026-01-21 10:39:17.344
300,245,236,377,24,2026-01-21 10:39:17.486
230,165,159,323,22,2026-01-21 10:39:17.630
360,300,291,440,22,2026-01-21 10:39:17.772
323,265,256,401,21,2026-01-21 10:39:17.915
226,166,160,310,27,2026-01-21 10:39:18.058
409,343,336,494,25,2026-01-21 10:39:18.201
384,320,313,468,30,2026-01-21 10:39:18.344
302,233,228,399,33,2026-01-21 10:39:18.488
486,415,411,582,37,2026-01-21 10:39:18.631
642,554,549,770,24,2026-01-21 10:39:18.773
446,350,344,583,32,2026-01-21 10:39:18.916
216,122,113,788,37,2026-01-21 10:39:19.059
629,543,538,754,39,2026-01-21 10:39:19.202
409,329,324,530,39,2026-01-21 10:39:19.345
200,115,107,333,38,2026-01-21 10:39:19.488
580,499,495,700,36,2026-01-21 10:39:19.631
435,358,353,550,35,2026-01-21 10:39:19.774
175,104,97,284,36,2026-01-21 10:39:19.917
530,459,456,628,36,2026-01-21 10:39:20.060
470,390,386,582,32,2026-01-21 10:39:20.203
208,122,114,330,34,2026-01-21 10:39:20.347
617,534,531,728,34,2026-01-21 10:39:20.489
453,376,372,556,30,2026-01-21 10:39:20.632
204,131,126,301,33,2026-01-21 10:39:20.776
656,568,564,776,23,2026-01-21 10:39:20.918
584,477,472,725,24,2026-01-21 10:39:21.061
287,189,181,423,37,2026-01-21 10:39:21.204
628,544,541,741,28,2026-01-21 10:39:21.347
415,346,341,502,31,2026-01-21 10:39:21.490
238,167,162,332,35,2026-01-21 10:39:21.634
531,456,453,627,19,2026-01-21 10:39:21.776
