Timestamp,Red,Green,Blue,Distance_mm
2026-01-07 12:53:52.792,908,1282,967,81
2026-01-07 12:53:53.199,725,1132,852,73
2026-01-07 12:53:53.605,681,1034,913,72
2026-01-07 12:53:54.011,707,969,864,77
2026-01-07 12:53:54.420,692,963,976,74
2026-01-07 12:53:54.826,727,921,764,72
2026-01-07 12:53:55.232,693,856,648,61
2026-01-07 12:53:55.637,507,506,362,35
2026-01-07 12:53:56.044,758,835,688,22
2026-01-07 12:53:56.469,1211,4514,4411,19
2026-01-07 12:53:56.895,5614,2863,853,20
2026-01-07 12:53:57.298,472,517,366,35
2026-01-07 12:53:57.702,423,487,386,41
2026-01-07 12:53:58.106,514,633,542,50
2026-01-07 12:53:58.513,602,888,607,54
2026-01-07 12:53:58.920,612,751,574,52
2026-01-07 12:53:59.326,646,754,630,54
2026-01-07 12:53:59.731,601,825,652,62
2026-01-07 12:54:00.137,539,669,577,51
2026-01-07 12:54:00.543,536,653,642,45
2026-01-07 12:54:00.947,547,641,528,45
2026-01-07 12:54:01.354,505,558,451,46
2026-01-07 12:54:01.759,560,646,545,50
2026-01-07 12:54:02.164,569,779,624,53
2026-01-07 12:54:02.571,565,877,708,62
2026-01-07 12:54:02.978,674,967,927,79
2026-01-07 12:54:03.384,704,958,903,76
2026-01-07 12:54:03.793,699,972,806,73
2026-01-07 12:54:04.201,654,864,770,68
2026-01-07 12:54:04.607,690,901,798,72
2026-01-07 12:54:05.013,758,997,791,71
2026-01-07 12:54:05.422,761,1083,903,77
2026-01-07 12:54:05.831,843,1008,772,69
2026-01-07 12:54:06.238,662,950,763,62
2026-01-07 12:54:06.646,664,991,828,66
2026-01-07 12:54:07.054,731,1031,825,66
2026-01-07 12:54:07.461,668,861,807,63
2026-01-07 12:54:07.889,712,1001,910,68
2026-01-07 12:54:08.275,825,1119,946,79
2026-01-07 12:54:08.682,792,1000,805,69
2026-01-07 12:54:09.089,715,878,745,65
2026-01-07 12:54:09.496,883,1052,789,61
2026-01-07 12:54:09.905,878,960,761,60
2026-01-07 12:54:10.313,763,881,629,52
2026-01-07 12:54:10.720,753,948,802,61
2026-01-07 12:54:11.128,772,1049,787,58
2026-01-07 12:54:11.537,805,1182,944,70
2026-01-07 12:54:11.946,868,1217,997,76
2026-01-07 12:54:12.353,786,1043,993,73
2026-01-07 12:54:12.759,736,1000,953,78
2026-01-07 12:54:13.165,750,999,835,74
2026-01-07 12:54:13.573,731,961,809,72
2026-01-07 12:54:13.981,719,1036,768,69
2026-01-07 12:54:14.388,684,906,693,64
2026-01-07 12:54:14.794,681,943,757,71
2026-01-07 12:54:15.201,665,956,803,70
2026-01-07 12:54:15.609,685,1055,844,72
2026-01-07 12:54:16.015,766,1044,962,75
2026-01-07 12:54:16.425,835,1164,1042,75
2026-01-07 12:54:16.834,910,1159,1054,70
2026-01-07 12:54:17.243,812,1003,930,64
2026-01-07 12:54:17.648,751,871,720,61
2026-01-07 12:54:18.054,681,828,675,58
2026-01-07 12:54:18.460,693,861,672,60
2026-01-07 12:54:18.867,754,918,732,68
2026-01-07 12:54:19.273,651,930,762,66
2026-01-07 12:54:19.682,639,1005,745,63
2026-01-07 12:54:20.087,604,769,658,58
2026-01-07 12:54:20.494,589,785,731,61
2026-01-07 12:54:20.900,686,790,637,60
2026-01-07 12:54:21.306,642,800,664,56
2026-01-07 12:54:21.713,681,958,681,58
2026-01-07 12:54:22.120,666,824,638,52
2026-01-07 12:54:22.528,713,839,619,51
2026-01-07 12:54:22.933,627,795,616,50
2026-01-07 12:54:23.338,611,727,596,50
2026-01-07 12:54:23.744,569,703,595,49
2026-01-07 12:54:24.149,527,621,462,43
2026-01-07 12:54:24.554,527,600,494,45
2026-01-07 12:54:24.961,543,707,572,54
2026-01-07 12:54:25.367,655,796,680,56
2026-01-07 12:54:25.773,593,836,699,56
2026-01-07 12:54:26.181,605,914,712,59
2026-01-07 12:54:26.586,646,863,839,63
2026-01-07 12:54:26.992,675,920,869,65
2026-01-07 12:54:27.399,885,980,787,59
2026-01-07 12:54:27.808,831,979,794,61
2026-01-07 12:54:28.216,873,1086,876,61
2026-01-07 12:54:28.623,819,1013,778,62
2026-01-07 12:54:29.028,868,976,820,59
2026-01-07 12:54:29.434,699,954,723,57
2026-01-07 12:54:29.841,666,848,765,57
2026-01-07 12:54:30.250,732,962,855,64
2026-01-07 12:54:30.662,835,1132,1060,70
2026-01-07 12:54:31.070,957,1181,963,73
2026-01-07 12:54:31.477,861,1113,977,70
2026-01-07 12:54:31.884,888,1074,851,70
2026-01-07 12:54:32.292,794,1019,829,71
2026-01-07 12:54:32.697,738,992,679,61
2026-01-07 12:54:33.104,787,850,634,51
2026-01-07 12:54:33.511,772,836,718,50
2026-01-07 12:54:33.921,758,1367,1290,102
2026-01-07 12:54:34.332,1001,1666,1360,117
2026-01-07 12:54:34.733,616,498,388,37
2026-01-07 12:54:35.145,815,1373,1334,138
2026-01-07 12:54:35.553,897,1284,1064,88
2026-01-07 12:54:35.961,635,1004,1100,95
2026-01-07 12:54:36.374,904,1487,1382,178
2026-01-07 12:54:36.784,917,1359,1064,109
2026-01-07 12:54:37.186,584,597,718,58
2026-01-07 12:54:37.602,863,1414,1306,160
2026-01-07 12:54:38.010,868,1325,1021,106
2026-01-07 12:54:38.412,642,683,487,43
2026-01-07 12:54:38.823,742,1281,1213,129
2026-01-07 12:54:39.228,799,1156,782,70
2026-01-07 12:54:39.633,453,500,551,46
2026-01-07 12:54:40.044,786,1344,1388,138
2026-01-07 12:54:40.453,844,1210,1018,83
2026-01-07 12:54:40.856,580,616,720,58
