Timestamp,Red,Green,Blue,Distance_mm
2026-01-07 12:31:59.816,1217,2017,2025,87
2026-01-07 12:32:00.229,1156,2004,2025,86
2026-01-07 12:32:00.643,1135,2005,2038,88
2026-01-07 12:32:01.057,1143,1943,2054,90
2026-01-07 12:32:01.470,1156,1952,2053,85
2026-01-07 12:32:01.884,1150,1969,2096,88
2026-01-07 12:32:02.297,1177,1983,2343,84
2026-01-07 12:32:02.710,1149,1877,2238,75
2026-01-07 12:32:03.120,990,1424,1984,50
2026-01-07 12:32:03.529,771,1214,1536,46
2026-01-07 12:32:03.936,775,1169,1435,40
2026-01-07 12:32:04.346,800,1279,1528,45
2026-01-07 12:32:04.757,841,1268,1462,47
2026-01-07 12:32:05.165,845,1309,1544,48
2026-01-07 12:32:05.575,889,1400,1527,48
2026-01-07 12:32:05.985,829,1370,1531,48
2026-01-07 12:32:06.395,877,1356,1505,45
2026-01-07 12:32:06.808,907,1453,1596,48
2026-01-07 12:32:07.216,873,1334,1420,43
2026-01-07 12:32:07.622,792,1206,1399,36
2026-01-07 12:32:08.031,681,1167,1407,41
2026-01-07 12:32:08.438,680,1235,1507,46
2026-01-07 12:32:08.848,768,1392,1624,50
2026-01-07 12:32:09.261,824,1506,1656,51
2026-01-07 12:32:09.671,812,1439,1649,51
2026-01-07 12:32:10.084,870,1589,1697,56
2026-01-07 12:32:10.494,864,1542,1779,57
2026-01-07 12:32:10.905,900,1579,1763,58
2026-01-07 12:32:11.318,903,1554,1662,51
2026-01-07 12:32:11.725,817,1567,1717,56
2026-01-07 12:32:12.134,873,1598,1683,54
2026-01-07 12:32:12.543,775,1103,1430,34
2026-01-07 12:32:12.953,697,1243,1756,33
2026-01-07 12:32:13.362,880,1481,1921,30
2026-01-07 12:32:13.771,673,1081,1765,42
2026-01-07 12:32:14.181,851,1499,2130,71
2026-01-07 12:32:14.594,1147,1809,2287,78
2026-01-07 12:32:15.008,1086,1812,2132,77
2026-01-07 12:32:15.418,989,1605,2013,64
2026-01-07 12:32:15.829,1007,1735,2083,75
2026-01-07 12:32:16.241,1013,1738,2092,80
2026-01-07 12:32:16.653,1022,1738,2087,77
2026-01-07 12:32:17.064,971,1574,1923,65
2026-01-07 12:32:17.476,937,1576,1849,65
2026-01-07 12:32:17.887,927,1590,1925,66
2026-01-07 12:32:18.296,967,1715,2100,83
2026-01-07 12:32:18.710,1116,2005,2377,97
2026-01-07 12:32:19.122,1327,2302,2497,107
2026-01-07 12:32:19.537,1168,2034,2240,106
2026-01-07 12:32:19.950,1111,2145,2134,96
2026-01-07 12:32:20.364,1114,2109,2243,100
2026-01-07 12:32:20.773,1129,2202,2156,97
2026-01-07 12:32:21.186,1086,2077,2093,89
2026-01-07 12:32:21.601,1135,2336,2330,107
2026-01-07 12:32:22.010,1187,2011,2058,87
2026-01-07 12:32:22.420,1035,2068,2033,85
2026-01-07 12:32:22.832,1088,2109,2135,78
2026-01-07 12:32:23.244,1123,2176,2074,80
2026-01-07 12:32:23.654,1030,1874,1965,77
2026-01-07 12:32:24.068,1025,1937,2017,79
2026-01-07 12:32:24.481,1098,2169,2368,90
2026-01-07 12:32:24.894,1288,2376,2352,94
2026-01-07 12:32:25.304,1143,2099,2143,89
2026-01-07 12:32:25.715,1105,2051,2076,83
2026-01-07 12:32:26.125,1058,1985,2054,78
2026-01-07 12:32:26.538,1018,1835,2032,69
2026-01-07 12:32:26.950,1021,1863,2041,72
2026-01-07 12:32:27.364,1039,1936,1961,78
2026-01-07 12:32:27.777,1233,1990,2036,79
2026-01-07 12:32:28.189,1191,2105,2200,83
2026-01-07 12:32:28.604,1305,2152,2047,80
2026-01-07 12:32:29.019,1164,1856,2023,76
2026-01-07 12:32:29.433,1075,1708,1826,68
2026-01-07 12:32:29.847,1036,1674,2287,70
2026-01-07 12:32:30.264,1221,2190,2487,79
2026-01-07 12:32:30.677,1288,2439,2672,104
2026-01-07 12:32:31.097,1483,2716,2743,109
2026-01-07 12:32:31.512,1440,2676,2530,104
2026-01-07 12:32:31.928,1418,2463,2430,98
2026-01-07 12:32:32.342,1303,2060,2108,79
2026-01-07 12:32:32.754,996,1507,1698,56
2026-01-07 12:32:33.165,1003,1431,1591,51
2026-01-07 12:32:33.578,1001,1670,1961,68
2026-01-07 12:32:33.993,1300,2255,2556,112
2026-01-07 12:32:34.408,1255,2254,2356,158
2026-01-07 12:32:34.822,1267,2317,2552,107
