Red,Green,Blue,Clear,Distance,Label
206,164,159,256,24,Red
169,125,121,222,24,Red
210,82,80,261,26,Red
201,161,156,250,27,Red
168,126,122,218,28,Red
126,82,80,177,25,Red
203,162,158,253,27,Red
170,129,126,219,26,Red
124,81,80,174,29,Red
206,164,160,256,26,Red
180,138,134,231,22,Red
127,83,81,180,26,Red
210,169,164,262,24,Red
186,144,140,240,23,Red
136,91,88,194,21,Red
240,196,190,301,22,Red
214,171,165,277,19,Red
156,107,103,225,20,Red
269,223,215,337,20,Red
258,208,200,327,20,Red
174,122,117,247,20,Red
304,252,243,375,20,Red
300,245,236,377,24,Red
230,165,159,323,22,Red
360,300,291,440,22,Red
323,265,256,401,21,Red
226,166,160,310,27,Red
409,343,336,494,25,Red
384,320,313,468,30,Red
302,233,228,399,33,Red
486,415,411,582,37,Red
642,554,549,770,24,Red
446,350,344,583,32,Red
216,122,113,788,37,Red
629,543,538,754,39,Red
409,329,324,530,39,Red
200,115,107,333,38,Red
580,499,495,700,36,Red
435,358,353,550,35,Red
175,104,97,284,36,Red
530,459,456,628,36,Red
470,390,386,582,32,Red
208,122,114,330,34,Red
617,534,531,728,34,Red
453,376,372,556,30,Red
204,131,126,301,33,Red
656,568,564,776,23,Red
584,477,472,725,24,Red
287,189,181,423,37,Red
628,544,541,741,28,Red
415,346,341,502,31,Red
238,167,162,332,35,Red
531,456,453,627,19,Red
320,264,257,387,20,Red
174,126,122,234,20,Red
291,242,234,352,22,Red
316,261,253,386,32,Red
293,221,216,389,30,Red
473,404,399,558,20,Red
311,259,251,376,24,Red
256,195,189,334,28,Red
437,373,368,516,35,Red
531,461,458,624,37,Red
387,313,309,487,38,Red
187,106,99,735,36,Red
623,545,543,726,29,Red
343,276,272,428,27,Red
160,95,91,244,28,Red
444,378,373,523,28,Red
358,290,285,443,36,Red
174,101,96,272,38,Red
596,519,517,697,25,Red
525,434,430,646,23,Red
237,136,126,384,21,Red
697,580,577,851,24,Red
559,464,460,686,38,Red
237,154,147,356,24,Red
694,593,590,828,21,Red
594,485,480,743,23,Red
369,228,214,589,25,Red
742,605,598,945,23,Red
644,523,520,818,29,Red
327,185,169,556,21,Red
682,554,547,875,24,Red
621,524,520,754,32,Red
338,253,247,458,25,Red
684,563,562,847,21,Red
683,551,545,872,24,Red
397,292,284,544,27,Red
682,584,582,808,34,Red
616,533,529,728,29,Red
407,317,312,531,24,Red
685,584,581,816,38,Red
624,544,541,731,36,Red
375,301,297,473,39,Red
186,104,97,720,26,Red
664,576,572,780,38,Red
403,331,328,500,29,Red
151,90,85,232,23,Red
384,327,320,454,28,Red
359,296,292,446,27,Red
145,89,84,225,22,Red
354,302,294,421,21,Red
287,235,228,357,30,Red
167,104,99,256,30,Red
488,425,422,568,30,Red
393,330,327,471,33,Red
196,131,126,284,39,Red
591,520,518,684,35,Red
445,378,374,531,38,Red
253,178,172,356,34,Red
583,510,508,679,34,Red
563,483,479,670,26,Red
320,228,221,447,26,Red
681,582,579,813,31,Red
606,517,513,726,33,Red
344,255,249,468,30,Red
659,570,567,779,35,Red
588,507,503,700,34,Red
323,246,241,431,34,Red
655,568,563,780,25,Red
645,551,547,781,25,Red
425,326,320,570,23,Red
684,580,108,830,34,Red
619,540,537,735,29,Red
302,237,232,389,25,Red
158,93,88,244,25,Red
365,304,297,439,27,Red
334,263,258,426,31,Red
168,97,91,264,28,Red
449,381,376,534,26,Red
313,250,244,392,26,Red
155,92,87,239,28,Red
418,354,348,494,19,Red
255,203,196,318,19,Red
128,83,80,182,20,Red
240,197,191,292,20,Red
218,174,169,272,20,Red
139,93,90,196,21,Red
258,215,208,313,21,Red
285,234,226,350,22,Red
173,120,115,244,22,Red
284,240,231,346,23,Red
234,194,187,296,18,Red
174,125,120,243,32,Red
486,423,420,567,38,Red
545,473,470,643,33,Red
322,245,239,431,36,Red
607,530,527,712,28,Red
622,539,535,737,37,Red
290,223,219,380,32,Red
467,401,397,551,28,Red
437,373,368,519,24,Red
263,203,197,341,26,Red
413,351,88,491,27,Red
406,342,335,487,29,Red
321,249,243,417,38,Red
188,106,100,302,35,Red
588,508,505,697,36,Red
392,316,311,497,28,Red
168,98,93,263,27,Red
439,370,365,525,26,Red
338,271,265,423,24,Red
158,94,90,243,22,Red
363,302,294,439,34,Red
408,332,327,509,28,Red
174,109,104,268,21,Red
359,304,295,447,25,Red
332,276,267,439,22,Red
179,132,123,295,22,Red
324,284,272,428,21,Red
341,290,280,451,31,Red
219,156,150,325,25,Red
402,341,334,488,23,Red
318,262,254,394,19,Red
196,138,133,275,23,Red
406,341,334,488,28,Red
414,346,340,506,33,Red
272,202,196,374,28,Red
423,358,352,512,23,Red
347,290,282,425,34,Red
322,246,240,430,32,Red
640,557,553,758,39,Red
593,517,514,700,28,Red
287,224,219,372,22,Red
372,313,86,451,21,Red
368,308,300,446,21,Red
275,215,208,357,21,Red
147,88,84,228,19,Red
314,264,255,380,21,Red
231,183,176,297,23,Red
139,85,81,212,28,Red
423,360,354,500,30,Red
357,294,289,440,26,Red
147,88,83,230,27,Red
411,351,346,486,33,Red
385,321,317,472,24,Red
149,98,93,224,22,Red
246,209,201,308,24,Red
183,150,144,241,24,Red
127,90,87,186,21,Red
226,190,183,283,21,Red
209,171,165,266,22,Red
138,101,97,196,29,Red
191,160,154,248,28,Red
179,149,143,241,24,Red
139,105,101,200,25,Red
207,173,167,266,27,Red
201,165,159,258,27,Red
144,108,104,195,31,Red
182,148,144,231,32,Red
173,139,136,222,30,Red
144,109,106,195,28,Red
188,152,148,239,32,Red
177,142,139,226,33,Red
145,110,108,195,32,Red
181,85,82,235,27,Red
207,170,165,267,31,Red
153,121,117,211,35,Red
120,89,86,179,34,Red
173,143,139,233,37,Red
150,120,116,208,36,Red
122,90,87,180,34,Red
174,142,138,230,36,Red
156,123,120,210,36,Red
125,91,89,178,33,Red
179,145,141,232,32,Red
172,136,133,227,32,Red
139,101,99,198,31,Red
210,172,167,270,24,Red
205,164,159,268,23,Red
161,114,110,230,25,Red
244,203,196,314,23,Red
215,179,172,291,25,Red
157,116,112,228,25,Red
229,191,184,294,23,Red
240,197,190,308,23,Red
156,114,111,215,26,Red
207,167,162,260,27,Red
202,160,155,253,27,Red
158,115,112,207,30,Red
199,157,154,245,26,Red
203,160,156,251,24,Red
176,129,126,229,22,Red
244,197,191,298,24,Red
219,175,170,268,31,Red
151,112,110,192,32,Red
177,81,80,217,30,Red
181,142,140,223,33,Red
155,116,114,196,35,Red
118,80,79,157,38,Red
160,125,123,198,44,Red
136,103,101,175,39,Red
111,78,77,153,32,Red
167,134,131,213,28,Red
158,125,121,211,31,Red
112,80,77,164,28,Red
175,144,139,225,30,Red
165,129,126,209,28,Red
123,84,82,166,27,Red
196,158,154,239,27,Red
179,140,136,221,29,Red
131,91,89,173,29,Red
198,159,155,241,28,Red
186,146,143,230,27,Red
140,99,97,184,29,Red
197,157,153,240,29,Red
187,148,144,231,26,Red
150,108,105,197,23,Red
221,180,174,271,20,Red
248,205,198,311,24,Red
214,167,159,304,24,Red
375,328,318,477,24,Red
378,324,315,474,18,Red
219,170,163,301,20,Red
267,225,217,335,24,Red
219,179,173,273,27,Red
154,116,113,199,34,Red
115,78,77,212,35,Red
159,123,121,195,39,Red
136,100,99,170,42,Red
111,76,75,144,44,Red
143,110,108,175,46,Red
127,94,93,158,40,Red
105,72,71,137,39,Red
144,112,110,178,40,Red
132,99,98,167,35,Red
106,73,72,144,35,Red
160,128,125,200,30,Red
150,118,115,194,32,Red
108,79,76,158,28,Red
174,145,140,227,29,Red
167,136,131,220,26,Red
125,89,86,177,26,Red
216,179,173,265,24,Red
200,161,156,247,22,Red
141,100,97,189,24,Red
226,186,181,273,31,Red
170,134,131,209,29,Red
127,91,90,165,34,Red
170,135,132,208,34,Red
155,120,118,191,27,Red
148,108,105,193,26,Red
229,189,183,278,23,Red
232,190,184,282,23,Red
173,130,126,224,23,Red
220,182,176,271,25,Red
191,159,154,244,29,Red
146,115,112,202,34,Red
169,84,81,229,31,Red
170,146,142,236,30,Red
148,119,115,205,38,Red
104,75,74,148,41,Red
140,111,109,180,38,Red
129,98,96,168,42,Red
129,89,88,202,44,Red
289,167,161,467,49,Red
289,155,149,464,55,Red
284,142,136,461,53,Red
307,160,153,490,46,Red
323,168,159,530,45,Red
305,158,149,514,44,Red
318,175,166,526,48,Red
322,172,163,533,49,Red
338,171,161,560,46,Red
371,193,183,600,48,Red
361,184,175,580,50,Red
349,173,164,566,53,Red
354,182,174,565,59,Red
319,170,162,514,61,Red
311,168,160,515,64,Red
330,186,176,550,60,Red
321,196,184,558,54,Red
331,203,189,592,57,Red
360,219,205,631,54,Red
380,230,214,669,57,Red
387,229,213,685,52,Red
396,237,221,690,53,Red
409,243,227,711,46,Red
421,249,233,741,42,Red
444,270,232,776,47,Red
452,279,264,791,42,Red
446,274,259,799,40,Red
424,260,246,791,37,Red
457,305,288,843,41,Red
441,297,278,844,37,Red
409,254,239,779,34,Red
441,289,275,789,32,Red
409,250,239,712,38,Red
375,198,191,636,39,Red
417,231,224,666,45,Red
392,206,199,620,43,Red
359,179,173,572,44,Red
375,195,189,581,45,Red
365,185,179,566,44,Red
360,174,168,562,47,Red
377,190,184,579,45,Red
382,188,181,587,43,Red
394,184,177,618,45,Red
425,216,207,673,44,Red
437,232,219,723,43,Red
444,227,213,752,40,Red
497,264,248,818,41,Red
527,276,259,871,37,Red
536,253,238,879,31,Red
603,295,282,940,35,Red
583,277,266,894,40,Red
493,217,208,762,45,Red
479,224,215,728,45,Red
449,218,210,688,39,Red
406,199,192,635,36,Red
407,218,168,626,37,Red
379,215,209,582,35,Red
344,189,185,538,34,Red
308,159,156,495,33,Red
347,212,207,529,39,Red
309,185,181,494,32,Red
