Timestamp,Red,Green,Blue,Distance_mm
2026-01-07 12:49:03.131,984,1760,1715,8190
2026-01-07 12:49:03.131,984,1766,1716,418
2026-01-07 12:49:03.132,984,1760,1722,8190
2026-01-07 12:49:03.132,984,1761,1722,8190
2026-01-07 12:49:03.348,990,1761,1717,8190
2026-01-07 12:49:03.759,984,1762,1723,8190
2026-01-07 12:49:04.169,991,1761,1723,8190
2026-01-07 12:49:04.580,985,1762,1723,8190
2026-01-07 12:49:04.991,985,1762,1724,8190
2026-01-07 12:49:05.402,985,1762,1723,8190
2026-01-07 12:49:05.813,985,1769,1718,8190
2026-01-07 12:49:06.224,986,1764,1719,8190
2026-01-07 12:49:06.635,992,1765,1721,8190
2026-01-07 12:49:07.048,990,1782,1762,8190
2026-01-07 12:49:07.457,1103,1951,1895,407
2026-01-07 12:49:07.873,1124,2000,1898,8190
2026-01-07 12:49:08.284,1051,1847,1794,8190
2026-01-07 12:49:08.694,1077,2005,2060,442
2026-01-07 12:49:09.109,1196,2082,2137,390
2026-01-07 12:49:09.523,1055,1827,1780,8190
2026-01-07 12:49:09.936,1134,2178,2188,383
2026-01-07 12:49:10.350,1239,2011,1874,8190
2026-01-07 12:49:10.762,1095,2041,2124,347
2026-01-07 12:49:11.176,1161,1989,1837,8190
2026-01-07 12:49:11.591,1258,2489,2482,258
2026-01-07 12:49:12.000,1482,2544,2180,298
2026-01-07 12:49:12.413,1415,2359,2477,522
2026-01-07 12:49:12.827,1575,2754,2723,414
2026-01-07 12:49:13.247,1742,3191,3192,252
2026-01-07 12:49:13.668,1935,3184,2940,220
2026-01-07 12:49:14.085,1528,2534,2398,458
2026-01-07 12:49:14.500,1515,2865,2969,297
2026-01-07 12:49:14.915,2096,3335,2911,269
2026-01-07 12:49:15.326,1435,2367,2259,485
2026-01-07 12:49:15.742,1433,2722,2899,297
2026-01-07 12:49:16.160,1897,2989,2668,287
2026-01-07 12:49:16.575,1371,2342,2283,492
2026-01-07 12:49:16.989,1450,2736,2732,281
2026-01-07 12:49:17.405,1395,2000,1820,8190
2026-01-07 12:49:17.820,1046,1853,1804,8190
2026-01-07 12:49:18.232,1047,1868,1823,8191
2026-01-07 12:49:18.643,1045,1842,1773,8190
2026-01-07 12:49:19.057,1012,1796,1737,8190
2026-01-07 12:49:19.469,997,1784,1730,8190
2026-01-07 12:49:19.880,993,1772,1743,8190
2026-01-07 12:49:20.295,1005,1786,1728,8190
2026-01-07 12:49:20.706,991,1765,1725,8190
2026-01-07 12:49:21.119,994,1775,1735,8190
2026-01-07 12:49:21.535,1006,1792,1737,8190
2026-01-07 12:49:21.948,1006,1802,1795,8190
2026-01-07 12:49:22.356,1025,1865,1810,305
2026-01-07 12:49:22.767,1124,2221,2129,394
2026-01-07 12:49:23.184,1195,2192,2105,401
2026-01-07 12:49:23.598,1160,2072,2009,393
2026-01-07 12:49:24.009,1141,2045,1980,383
2026-01-07 12:49:24.420,1144,2055,1976,396
2026-01-07 12:49:24.837,1152,2098,2033,436
2026-01-07 12:49:25.249,1172,2082,1944,480
2026-01-07 12:49:25.661,1165,2184,2148,424
2026-01-07 12:49:26.077,1221,2193,2098,431
2026-01-07 12:49:26.490,1189,2158,2048,376
2026-01-07 12:49:26.904,1186,2168,2077,354
2026-01-07 12:49:27.317,1184,2174,2092,354
2026-01-07 12:49:27.731,1189,2172,2088,352
2026-01-07 12:49:28.148,1196,2193,2124,345
2026-01-07 12:49:28.565,1252,2266,2043,253
2026-01-07 12:49:28.974,1089,2039,1965,311
2026-01-07 12:49:29.385,1160,2057,1983,442
2026-01-07 12:49:29.796,1218,2276,2078,302
2026-01-07 12:49:30.207,1090,2023,1956,398
2026-01-07 12:49:30.618,1111,2002,1980,424
2026-01-07 12:49:31.032,1224,2096,1895,297
2026-01-07 12:49:31.446,1081,1948,1898,8190
2026-01-07 12:49:31.859,1110,2009,2110,296
2026-01-07 12:49:32.269,1058,1806,1758,8190
2026-01-07 12:49:32.681,1009,1801,1751,8190
2026-01-07 12:49:33.094,999,1783,1765,8190
2026-01-07 12:49:33.510,1275,2533,2617,132
2026-01-07 12:49:33.924,1818,2009,2841,30
2026-01-07 12:49:34.342,2133,2832,2254,33
2026-01-07 12:49:34.756,1465,2397,1812,52
2026-01-07 12:49:35.172,1630,2211,1928,54
2026-01-07 12:49:35.584,1652,2053,2053,59
2026-01-07 12:49:35.999,1740,2154,2103,61
2026-01-07 12:49:36.413,1772,2190,2930,55
2026-01-07 12:49:36.828,1602,2165,2558,56
2026-01-07 12:49:37.242,1566,3025,2262,47
2026-01-07 12:49:37.659,1607,2751,1936,37
2026-01-07 12:49:38.075,2163,2375,1934,39
2026-01-07 12:49:38.490,1922,2591,2554,88
2026-01-07 12:49:38.904,1419,2539,2737,195
2026-01-07 12:49:39.330,1916,3489,4801,116
2026-01-07 12:49:39.790,6872,8597,6384,52
2026-01-07 12:49:40.213,5676,5822,6605,37
2026-01-07 12:49:40.649,5274,8298,7493,32
