Red,Green,Blue,Clear,Distance_mm,Timestamp
116,123,82,237,40,2026-01-21 11:19:30.021
122,125,93,222,38,2026-01-21 11:19:30.164
140,148,106,266,29,2026-01-21 11:19:30.307
144,158,101,304,33,2026-01-21 11:19:30.450
174,186,136,318,32,2026-01-21 11:19:30.593
181,196,140,339,27,2026-01-21 11:19:30.736
181,206,126,407,21,2026-01-21 11:19:30.879
361,406,284,684,21,2026-01-21 11:19:31.022
273,330,280,646,20,2026-01-21 11:19:31.165
199,260,232,580,20,2026-01-21 11:19:31.308
281,351,319,697,22,2026-01-21 11:19:31.451
231,285,260,569,26,2026-01-21 11:19:31.594
149,182,166,392,33,2026-01-21 11:19:31.737
175,204,187,396,29,2026-01-21 11:19:31.880
178,207,184,400,28,2026-01-21 11:19:32.023
171,193,139,380,29,2026-01-21 11:19:32.166
225,243,93,409,26,2026-01-21 11:19:32.309
222,238,175,397,25,2026-01-21 11:19:32.452
181,194,135,347,28,2026-01-21 11:19:32.595
132,143,89,290,29,2026-01-21 11:19:32.738
217,232,172,382,27,2026-01-21 11:19:32.881
182,196,138,345,30,2026-01-21 11:19:33.024
123,133,83,267,37,2026-01-21 11:19:33.167
162,170,128,284,38,2026-01-21 11:19:33.310
125,129,96,229,41,2026-01-21 11:19:33.453
97,100,71,196,44,2026-01-21 11:19:33.596
129,133,107,229,44,2026-01-21 11:19:33.739
101,104,90,191,46,2026-01-21 11:19:33.882
76,79,68,156,45,2026-01-21 11:19:34.025
94,97,83,169,47,2026-01-21 11:19:34.168
87,89,72,156,46,2026-01-21 11:19:34.311
69,69,51,130,41,2026-01-21 11:19:34.454
93,95,73,160,40,2026-01-21 11:19:34.597
114,122,87,211,34,2026-01-21 11:19:34.740
85,94,59,185,37,2026-01-21 11:19:34.883
123,132,96,222,29,2026-01-21 11:19:35.026
171,189,131,326,23,2026-01-21 11:19:35.169
180,207,123,408,20,2026-01-21 11:19:35.312
306,337,243,546,22,2026-01-21 11:19:35.455
220,244,182,419,23,2026-01-21 11:19:35.598
158,181,134,353,26,2026-01-21 11:19:35.741
216,235,183,387,27,2026-01-21 11:19:35.884
207,221,165,360,31,2026-01-21 11:19:36.027
148,158,108,292,34,2026-01-21 11:19:36.170
179,188,144,315,30,2026-01-21 11:19:36.313
183,198,153,344,36,2026-01-21 11:19:36.456
123,127,95,226,79,2026-01-21 11:19:36.599
78,76,65,135,161,2026-01-21 11:19:36.742
52,47,45,82,56,2026-01-21 11:19:36.885
53,47,47,80,25,2026-01-21 11:19:37.028
52,50,26,69,50,2026-01-21 11:19:37.171
65,60,59,103,213,2026-01-21 11:19:37.314
139,134,129,257,247,2026-01-21 11:19:37.459
151,144,142,285,312,2026-01-21 11:19:37.603
100,94,93,184,235,2026-01-21 11:19:37.746
42,39,38,74,78,2026-01-21 11:19:37.890
39,36,35,62,52,2026-01-21 11:19:38.034
58,53,52,87,37,2026-01-21 11:19:38.177
75,68,68,112,31,2026-01-21 11:19:38.320
83,78,77,131,32,2026-01-21 11:19:38.463
168,164,163,224,26,2026-01-21 11:19:38.606
96,90,90,152,28,2026-01-21 11:19:38.749
70,64,63,111,30,2026-01-21 11:19:38.892
92,86,85,134,29,2026-01-21 11:19:39.035
119,116,114,169,24,2026-01-21 11:19:39.178
48,46,44,79,73,2026-01-21 11:19:39.321
52,48,48,88,76,2026-01-21 11:19:39.464
53,48,48,85,35,2026-01-21 11:19:39.608
63,58,54,96,36,2026-01-21 11:19:39.751
89,85,78,125,33,2026-01-21 11:19:39.894
82,78,71,119,32,2026-01-21 11:19:40.037
59,57,52,93,44,2026-01-21 11:19:40.180
51,48,45,80,57,2026-01-21 11:19:40.323
57,55,52,102,44,2026-01-21 11:19:40.466
55,52,51,92,60,2026-01-21 11:19:40.609
72,69,67,111,84,2026-01-21 11:19:40.752
95,93,89,172,347,2026-01-21 11:19:40.895
163,165,158,349,564,2026-01-21 11:19:41.040
181,177,174,353,409,2026-01-21 11:19:41.184
108,99,96,180,198,2026-01-21 11:19:41.327
85,78,69,144,84,2026-01-21 11:19:41.471
94,91,72,169,65,2026-01-21 11:19:41.614
96,94,81,171,273,2026-01-21 11:19:41.757
56,54,52,99,69,2026-01-21 11:19:41.901
62,62,56,117,43,2026-01-21 11:19:42.044
84,87,79,154,45,2026-01-21 11:19:42.187
76,80,71,149,41,2026-01-21 11:19:42.330
80,91,77,190,35,2026-01-21 11:19:42.473
106,125,104,256,54,2026-01-21 11:19:42.616
87,101,85,209,32,2026-01-21 11:19:42.759
67,70,63,127,87,2026-01-21 11:19:42.902
45,44,40,78,41,2026-01-21 11:19:43.045
61,62,57,102,69,2026-01-21 11:19:43.188
25,25,23,46,31,2026-01-21 11:19:43.332
22,23,21,40,29,2026-01-21 11:19:43.475
24,25,23,43,32,2026-01-21 11:19:43.618
25,24,23,44,34,2026-01-21 11:19:43.760
26,23,21,47,51,2026-01-21 11:19:43.904
26,25,24,45,47,2026-01-21 11:19:44.047
27,26,25,45,162,2026-01-21 11:19:44.190
39,39,37,70,-1,2026-01-21 11:19:44.333
54,58,53,112,24,2026-01-21 11:19:44.476
124,131,123,214,31,2026-01-21 11:19:44.620
69,74,68,152,32,2026-01-21 11:19:44.763
172,181,172,261,32,2026-01-21 11:19:44.906
107,114,107,195,29,2026-01-21 11:19:45.049
59,67,61,143,23,2026-01-21 11:19:45.192
110,121,113,204,21,2026-01-21 11:19:45.335
92,103,95,191,7,2026-01-21 11:19:45.478
79,89,80,187,9,2026-01-21 11:19:45.620
169,181,169,267,16,2026-01-21 11:19:45.764
98,103,97,151,22,2026-01-21 11:19:45.907
33,35,32,62,31,2026-01-21 11:19:46.049
49,53,49,82,51,2026-01-21 11:19:46.193
34,41,36,79,55,2026-01-21 11:19:46.335
26,30,27,61,28,2026-01-21 11:19:46.479
91,97,92,124,44,2026-01-21 11:19:46.622
69,75,70,106,68,2026-01-21 11:19:46.764
26,32,28,70,39,2026-01-21 11:19:46.907
